item_id,num_users,avg_dur,score,title,genres,content_type,release_year
7102,4362,91.37345254470426,398571.0,Дочь волка,"боевики, триллеры",film,2019.0
14317,4406,90.1765773944621,397318.0,Веном,"популярное, фантастика, триллеры, боевики, ужасы",film,2018.0
13018,4121,93.13977190002427,383829.0,Король лев (2019),"драмы, мультфильм, музыкальные",film,2019.0
4740,4069,92.39321700663554,375948.0,Сахаров. Две жизни,документальное,film,2021.0
15464,3882,94.8768675940237,368312.0,Апгрейд,"криминал, детективы, фантастика, триллеры, боевики",film,2018.0
11778,3822,94.86237571951858,362564.0,Простые сложности,"драмы, мелодрамы, комедии",film,2009.0
3935,3819,93.5962293794187,357444.0,Бывшая с того света,"фэнтези, триллеры, комедии",film,2020.0
5693,3725,94.83758389261745,353270.0,Алита: Боевой ангел,"боевики, фантастика, триллеры, приключения",film,2019.0
12981,3731,94.45805414098098,352423.0,Томирис,"боевики, драмы, историческое, военные",film,2020.0
657,3591,96.12002227791702,345167.0,Защитник,"драмы, триллеры, детективы",film,2015.0
1819,3562,95.3113419427288,339499.0,Непосредственно Каха,комедии,film,2020.0
5658,3592,93.96464365256125,337521.0,#Только серьёзные отношения,"мелодрамы, комедии",film,2021.0
7829,3610,90.1426592797784,325415.0,Поступь хаоса,"боевики, фантастика, фэнтези, приключения",film,2021.0
1287,3339,94.70589997005091,316223.0,Терминатор: Тёмные судьбы,"боевики, фантастика, приключения",film,2019.0
12501,3302,95.18655360387643,314306.0,Во всё тяжкое,"драмы, комедии",film,2018.0
11310,3325,94.15127819548873,313053.0,Аладдин,"фэнтези, приключения, мелодрамы",film,2019.0
10772,3145,95.14912559618442,299244.0,Зелёная книга,"драмы, биография, комедии",film,2018.0
10942,3062,92.98954931417374,284734.0,Мстители,"боевики, фантастика, фэнтези, приключения",film,2012.0
6626,2934,95.6319018404908,280584.0,Убийства по открыткам,"драмы, криминал, детективы",film,2020.0
16270,2960,93.9358108108108,278050.0,Тайна Коко,"мультфильм, фэнтези, приключения",film,2017.0
7582,2930,93.21774744027304,273128.0,Холодное сердце II,"фэнтези, мультфильм, музыкальные",film,2019.0
13915,2896,94.16747237569061,272709.0,Вперёд,"для детей, приключения, семейное, фэнтези, комедии",film,2020.0
1785,2869,93.32310909724643,267744.0,Чёрная пантера,"боевики, фантастика, приключения",film,2018.0
11754,2827,94.43898125221082,266979.0,Kingsman: Секретная служба,"боевики, криминал, приключения, комедии",film,2015.0
3784,2865,92.06422338568936,263764.0,Маленький воин,"семейное, комедии",film,2020.0
12841,2786,94.2473079684135,262573.0,Стражи Галактики,"боевики, фантастика, приключения, комедии",film,2014.0
10464,2819,92.52607307555871,260831.0,Вирус страха,"драмы, триллеры",film,2020.0
849,2815,91.25896980461812,256894.0,Дебошир,"историческое, биография, криминал, драмы, спорт, мелодрамы",film,2018.0
10761,2741,93.31010580080263,255763.0,Моана,"мультфильм, фэнтези, мюзиклы",film,2016.0
14461,2653,96.19072747832642,255194.0,Пара из будущего,"мелодрамы, комедии",film,2021.0
5411,2683,93.1587774878867,249945.0,Монстры на каникулах 3: Море зовёт,"мультфильм, фэнтези, приключения, комедии",film,2018.0
1132,2577,94.2883197516492,242980.99999999997,Крёстная мама,"драмы, комедии",film,2020.0
12743,2590,93.44131274131274,242013.0,Ледниковый период 4: Континентальный дрейф,"мультфильм, приключения, комедии",film,2012.0
7210,2533,93.83734701934465,237690.0,Тор: Рагнарёк,"приключения, фантастика, боевики, фэнтези, комедии",film,2017.0
14901,2503,94.31642029564523,236074.0,Небеса подождут,"драмы, мелодрамы, комедии",film,2020.0
6402,2502,94.08233413269384,235394.0,Королевский Гамбит,драмы,film,2020.0
14359,2491,94.18185467683661,234607.0,Проклятие ведьмы,ужасы,film,2020.0
5424,2429,95.78839028406752,232670.0,Марафон желаний,"мелодрамы, комедии",film,2020.0
10077,2411,95.53131480713397,230326.0,Что скрывает вода,"ужасы, триллеры",film,2020.0
11749,2410,92.85850622406639,223789.0,Суперсемейка 2,"фантастика, мультфильм, приключения",film,2018.0
13243,2332,94.4172384219554,220181.0,Головоломка,"фантастика, мультфильм, комедии",film,2015.0
8618,2244,95.8048128342246,214986.00000000003,Обратная связь,комедии,film,2020.0
16361,2272,93.51848591549296,212474.0,Doom: Аннигиляция,"боевики, ужасы, фантастика, триллеры",film,2019.0
6455,2208,93.24728260869566,205890.0,Альфа,"драмы, популярное, семейное, приключения",film,2018.0
12356,2110,95.50947867298578,201525.0,13 грехов,"ужасы, триллеры",film,2013.0
3509,2142,93.98179271708683,201309.0,Комната желаний,"драмы, фантастика, триллеры",film,2019.0
13159,2110,93.01137440758293,196254.0,Рататуй,"мультфильм, приключения, драмы, фэнтези, комедии",film,2007.0
15266,2102,92.95528068506185,195392.0,Корпорация монстров,"мультфильм, фэнтези, приключения, комедии",film,2001.0
11985,2101,92.77486910994764,194920.0,История игрушек 4,"мультфильм, фэнтези, комедии",film,2019.0
4471,2052,94.13450292397661,193164.0,Между нами горы,"приключения, драмы, триллеры, мелодрамы, боевики",film,2017.0
2237,2051,92.76548025353486,190262.0,Код 8,"боевики, фантастика",film,2019.0
8821,1996,94.49849699398797,188619.0,Стражи Галактики. Часть 2,"боевики, фантастика, приключения, комедии",film,2017.0
2657,2298,81.93951261966927,188297.0,Подслушано,"драмы, триллеры",series,2021.0
3095,2003,93.69995007488767,187681.0,Тор: Царство тьмы,"боевики, фэнтези, приключения",film,2013.0
5754,1999,93.70485242621311,187316.0,Доктор Стрэндж,"боевики, фантастика, фэнтези, приключения",film,2016.0
12324,2042,90.78991185112635,185393.0,Патруль: По законам улиц,боевики,film,2020.0
8437,1954,93.55987717502559,182816.0,Капитан Марвел,"боевики, фантастика",film,2019.0
3071,1900,96.14368421052632,182673.0,Родные,"драмы, комедии",film,2021.0
4718,1954,92.72978505629477,181194.0,Вверх,"драмы, мультфильм, приключения, комедии",film,2009.0
12623,1956,92.55163599182004,181031.0,Пираты карибского моря: Проклятие чёрной жемчужины,"боевики, фэнтези, приключения",film,2003.0
6162,1889,94.81524616199047,179106.0,Экстрасенс 2: Лабиринты разума,"драмы, триллеры, криминал, детективы",film,2013.0
1554,1841,96.7680608365019,178150.0,Последний богатырь: Корень зла,"семейное, фэнтези, приключения, комедии",film,2021.0
682,1876,93.81663113006397,176000.0,Мстители: Эра Альтрона,"боевики, фантастика, приключения",film,2015.0
15915,1826,95.36089813800658,174129.0,Балканский рубеж,"боевики, драмы, военные",film,2019.0
2722,1850,93.70756756756757,173359.0,Один дома,"семейное, комедии",film,1990.0
5287,1869,91.99732477260567,171943.0,Брешь,"боевики, ужасы, фантастика",film,2020.0
12965,1855,92.62371967654987,171817.0,Тачки 3,"мультфильм, комедии",film,2017.0
10436,1791,94.23338916806253,168772.0,Без границ,"мелодрамы, комедии",film,2015.0
24,2192,76.89324817518248,168550.0,Перебежчик,"драмы, историческое, военные",series,2020.0
8447,1839,91.49918433931485,168267.0,Клуб «Кастет»,"боевики, триллеры",film,2020.0
1449,1863,89.43102522812667,166610.0,Чкалов,"драмы, историческое",series,2012.0
2220,1779,93.38785834738617,166137.0,С днём смерти,"ужасы, детективы",film,2020.0
11756,1775,92.94140845070423,164971.0,Анастасия,"мультфильм, приключения, драмы, мюзиклы, фэнтези",film,1997.0
2954,1763,93.30232558139535,164492.0,Миньоны,"фантастика, мультфильм, приключения, комедии",film,2015.0
16087,1711,95.01168907071887,162565.0,Убийство в Восточном экспрессе,"драмы, криминал, детективы",film,2017.0
9214,1688,95.85071090047393,161796.0,Ржев,"драмы, историческое, военные",film,2019.0
7107,2271,70.37648612945839,159825.0,Девятаев,"драмы, военные, приключения",series,2021.0
3587,1709,93.24868344060854,159362.0,Железный человек,"боевики, фантастика, приключения",film,2008.0
4696,1692,93.97517730496453,159006.0,Удивительное путешествие доктора Дулиттла,"семейное, фэнтези, приключения, комедии",film,2020.0
2301,1693,93.91139988186652,158992.0,Марсианин,"фантастика, приключения",film,2015.0
4260,1671,94.5308198683423,157961.0,Дьявол носит Prada,"драмы, комедии",film,2006.0
10073,1668,92.64568345323741,154533.0,Джон Уик 3,"боевики, триллеры, криминал",film,2019.0
8801,1642,93.1394640682095,152935.0,Остров проклятых,"драмы, триллеры, детективы",film,2009.0
15739,1612,94.83250620347394,152870.0,Kingsman: Золотое кольцо,"криминал, приключения, триллеры, боевики, комедии",film,2017.0
12849,1648,92.54186893203884,152509.0,Первый мститель,"боевики, фантастика, приключения",film,2011.0
288,1616,93.75433168316832,151507.0,Список контактов,"драмы, триллеры, детективы",film,2008.0
14264,1629,92.42909760589319,150567.0,Пираты Карибского Моря: Сундук Мертвеца,"боевики, фэнтези, приключения",film,2006.0
366,1617,92.73902288188002,149959.0,Послезавтра,"драмы, фантастика, триллеры, приключения",film,2004.0
10119,1603,93.51777916406738,149909.0,Ледниковый период,"мультфильм, фэнтези, приключения, комедии",film,2002.0
9506,1606,93.19489414694894,149671.0,Холодное сердце,"фэнтези, мультфильм, музыкальные",film,2013.0
13545,1589,93.55003146633102,148651.0,Королевские каникулы,"семейное, мультфильм, комедии",film,2019.0
7612,1590,93.48301886792453,148638.0,Тор,"боевики, фантастика, фэнтези, приключения",film,2011.0
11348,1595,93.16677115987461,148601.0,Пираты Карибского моря: Мертвецы не рассказывают сказки,"боевики, фэнтези, приключения",film,2017.0
334,1593,92.93345888261142,148043.0,Храбрая сердцем,"мультфильм, фэнтези, приключения, комедии",film,2012.0
9900,1576,93.59517766497461,147506.0,Без компромиссов,"боевики, триллеры, криминал",film,2011.0
15362,1535,95.86319218241043,147150.0,[4К] Гнев человеческий,"боевики, триллеры",film,2021.0
4475,1581,93.04870335230866,147110.0,Тачки,"спорт, мультфильм, комедии",film,2006.0
9194,1597,91.6668753913588,146392.0,Роберт — король Шотландии,боевики,film,2019.0
8373,1541,93.6541207008436,144321.0,Любовь между строк,"драмы, мелодрамы",film,2019.0
7793,1633,88.06613594611144,143812.0,Радиовспышка,"боевики, драмы, фантастика, триллеры",film,2019.0
8986,1527,94.15651604453176,143777.0,Тело,"триллеры, детективы",film,2012.0
1916,1562,91.83738796414853,143450.0,Секс и ничего лишнего,мелодрамы,film,2012.0
10605,1533,92.529028049576,141847.0,В поисках Дори,"мультфильм, приключения, комедии",film,2016.0
10323,1530,92.67385620915033,141791.0,Университет монстров,"мультфильм, фэнтези, приключения, комедии",film,2013.0
11640,1545,91.23948220064725,140965.0,Преступление,детективы,series,2016.0
12770,1511,92.70086035737921,140071.0,Соседи сверху,комедии,film,2020.0
6774,1506,92.98937583001327,140042.0,Тачки 2,"мультфильм, комедии",film,2011.0
1617,1497,93.08483633934536,139348.0,Форма воды,"драмы, фантастика, мелодрамы",film,2017.0
5803,1478,93.57848443843031,138309.0,Джой,"драмы, биография",film,2015.0
12463,1528,90.47774869109948,138250.0,Студентка по вызову,"драмы, мелодрамы",film,2010.0
1553,1491,92.6673373574782,138167.0,Пираты карибского моря: На краю света,"боевики, фэнтези, приключения",film,2007.0
3940,1462,93.75649794801642,137072.0,Первый мститель: Противостояние,"боевики, фантастика, приключения",film,2016.0
5250,1481,91.8251181634031,135993.0,Золото джунглей,"драмы, приключения",film,2017.0
5732,1458,91.38614540466392,133241.0,Тайное влечение,"драмы, мелодрамы",film,2013.0
4702,1408,94.57599431818181,133163.0,Хищник,"боевики, фантастика, триллеры, приключения",film,1987.0
565,1399,94.1458184417441,131710.0,Ледниковый период 3: Эра динозавров,"мультфильм, приключения, комедии",film,2009.0
9342,1411,93.13890857547838,131419.0,Дэдпул,"боевики, фантастика, приключения, комедии",film,2016.0
10214,1393,94.23187365398421,131265.0,Мы – монстры,"ужасы, мультфильм, фэнтези, комедии",film,2017.0
8486,1398,93.741773962804,131051.0,Мой создатель,"драмы, фантастика",film,2020.0
5434,1464,88.91325136612022,130169.0,История семьи Блум,драмы,film,2020.0
1105,1399,92.88777698355969,129950.0,Рапунцель: Запутанная история,"мультфильм, приключения, мюзиклы, мелодрамы, фэнтези, комедии",film,2010.0
14025,1369,94.35573411249086,129173.0,Мы умираем молодыми,"боевики, драмы, триллеры, криминал",film,2020.0
7310,1369,93.45872899926954,127945.0,Гадкий я 2,"мультфильм, приключения, фантастика, фэнтези, комедии",film,2013.0
4880,1534,83.22620599739244,127669.0,Афера,комедии,series,2021.0
1418,1360,93.5764705882353,127264.0,Проклятие: Обитель смерти,ужасы,film,2018.0
144,1351,92.86232420429312,125457.0,Железный человек 3,"боевики, фантастика, приключения",film,2013.0
9164,1343,93.12360387192852,125065.0,ВАЛЛ-И,"фантастика, мультфильм, приключения",film,2008.0
9842,1302,95.95775729646698,124937.00000000001,Невидимый гость,"драмы, триллеры, криминал, детективы",film,2016.0
1106,1340,93.18582089552238,124869.0,Железный человек 2,"боевики, фантастика, приключения",film,2010.0
7713,1322,94.30030257186081,124665.0,Грецкий орешек,"приключения, комедии",film,2018.0
1053,1350,92.17481481481481,124435.99999999999,Криминальные боссы,"драмы, триллеры",film,2020.0
6561,1310,94.4793893129771,123768.00000000001,Варкрафт,"боевики, фэнтези, приключения",film,2016.0
14942,1306,93.94333843797855,122689.99999999999,История игрушек: Большой побег,"мультфильм, фэнтези, комедии",film,2010.0
1267,1309,93.14438502673796,121926.0,Город героев,"боевики, фантастика, мультфильм, комедии",film,2014.0
14242,1291,93.27110766847404,120412.99999999999,Страховщик,"боевики, драмы, фантастика, триллеры",film,2014.0
9298,1287,93.52447552447552,120366.0,Первый мститель: Другая война,"боевики, фантастика, приключения",film,2014.0
14470,1392,86.26077586206897,120075.0,Любовь,"драмы, мелодрамы",film,2015.0
2956,1280,92.9734375,119006.0,Король Лев,"драмы, мультфильм, приключения, мюзиклы",film,1994.0
4774,1261,93.69389373513084,118147.99999999999,Морской бой,"боевики, фантастика, триллеры, приключения",film,2012.0
9811,1248,94.4911858974359,117925.0,Малефисента: Владычица тьмы,"семейное, фэнтези",film,2019.0
15997,1240,94.92177419354839,117703.0,Сделано в Италии,комедии,film,2020.0
512,1254,93.2464114832536,116931.00000000001,Рядовой Чээрин,военные,film,2020.0
11654,1225,95.31102040816326,116755.99999999999,Три богатыря. На дальних берегах,"мультфильм, фэнтези, приключения, комедии",film,2012.0
11919,1258,92.52941176470588,116402.0,Суперсемейка,"фантастика, мультфильм, приключения",film,2004.0
13411,1248,93.09935897435898,116188.0,Вальгалла: Рагнарёк,"фэнтези, триллеры, приключения",film,2019.0
6646,1259,91.94122319301033,115754.0,Симпсоны в кино,"мультфильм, приключения, комедии",film,2007.0
6948,1201,96.23147377185678,115574.0,Агент Ева,"боевики, драмы, триллеры, криминал",film,2020.0
4237,1229,93.84621643612694,115337.0,Во власти стихии,"биография, приключения, драмы, триллеры, мелодрамы, боевики",film,2018.0
8254,1240,92.69596774193549,114943.00000000001,В поисках Немо,"семейное, мультфильм, приключения, комедии",film,2003.0
3402,1221,93.77395577395578,114498.0,1917,"боевики, драмы, историческое, военные",film,2019.0
13223,1209,94.48056244830438,114227.0,Экстрасенс,"драмы, ужасы, триллеры",film,2011.0
5266,1203,94.08728179551122,113187.0,Шугалей,"боевики, драмы, приключения",film,2020.0
676,1201,93.80932556203165,112665.0,Человек-невидимка,"фантастика, ужасы, триллеры, детективы",film,2020.0
12820,1208,92.28476821192054,111480.00000000001,Halo: Сумерки,"боевики, фантастика, триллеры, приключения",film,2015.0
9381,1184,94.03969594594595,111343.0,Кто не спрятался,"драмы, ужасы, триллеры, детективы",film,2020.0
12057,1189,93.13372582001682,110736.0,Пираты карибского моря: На странных берегах,"боевики, фэнтези, приключения",film,2011.0
8199,1165,94.71416309012875,110342.0,Метро,"драмы, триллеры",film,2013.0
991,1158,95.26683937823834,110319.0,Избави нас от лукавого,боевики,film,2020.0
11018,1164,94.43127147766323,109918.0,Хищники,"боевики, фантастика, триллеры, приключения",film,2010.0
16291,1175,92.9931914893617,109267.0,Лес самоубийц,"драмы, фэнтези, детективы",film,2015.0
6443,1247,87.40978348035284,109000.0,Полярный круг,"драмы, триллеры, криминал",series,2018.0
14215,1154,94.36741767764298,108900.0,Шрек,"мультфильм, фэнтези, приключения, комедии",film,2001.0
10876,1154,94.1109185441941,108604.0,Гарфилд,"мультфильм, фэнтези, комедии",film,2004.0
8252,1149,94.40557006092254,108472.0,Дружить по-русски,комедии,film,2019.0
10238,1153,93.62966175195143,107955.0,"День, когда Земля остановилась","драмы, фантастика, триллеры",film,2008.0
416,1141,94.4943032427695,107818.0,Возвращение героя,"боевики, триллеры",film,2013.0
1290,1188,90.46464646464646,107472.0,Человек-паук: Вдали от дома,"боевики, фантастика, приключения",film,2019.0
429,1136,94.58274647887323,107445.99999999999,Анон,"криминал, детективы, драмы, триллеры, фантастика",film,2018.0
9808,1145,93.76681222707424,107363.0,Шпион,"боевики, криминал, комедии",film,2015.0
13941,1137,93.82937554969217,106684.0,Принц Персии: Пески времени,"боевики, фэнтези, приключения",film,2010.0
3541,1128,93.82624113475177,105836.0,Ледниковый период 2: Глобальное потепление,"мультфильм, приключения, комедии",film,2006.0
16447,1144,92.25262237762237,105537.0,Бойцовский клуб,"драмы, триллеры, криминал",film,1999.0
13668,1090,96.61467889908256,105310.0,На грани безумия,"драмы, триллеры, детективы",film,2018.0
6317,1125,93.57688888888889,105274.0,Шальная карта,"боевики, драмы, триллеры",film,2015.0
10240,1106,94.9638336347197,105030.0,Клаустрофобы,триллеры,film,2019.0
101,1196,87.65384615384616,104834.00000000001,Куриоса,"историческое, мелодрамы",film,2019.0
13867,1097,94.87420237010028,104077.0,Рио,"мультфильм, криминал, приключения, мюзиклы, комедии",film,2011.0
12228,1125,92.46222222222222,104020.0,Волк с Уолл-стрит,"драмы, биография, криминал, комедии",film,2013.0
4448,1099,94.20473157415833,103531.0,Тайна Мунакра,"семейное, фэнтези, приключения, мелодрамы",film,2008.0
8580,1092,93.77930402930403,102407.0,Один на один,"фантастика, триллеры",film,2019.0
5051,1093,93.52973467520586,102228.0,Дом,"фантастика, мультфильм, приключения, комедии",film,2015.0
4024,1092,93.56318681318682,102171.0,"Я, робот","боевики, драмы, фантастика, триллеры",film,2004.0
4382,1128,90.24202127659575,101793.0,Ледяной капкан,"драмы, триллеры",film,2020.0
3076,1092,92.63553113553114,101158.0,Земля кочевников (субтитры),драмы,film,2020.0
9817,1081,93.19056429232192,100739.0,Донбасс. Окраина,"драмы, триллеры, военные",film,2018.0
13849,1078,93.42949907235622,100717.00000000001,Не входи,"триллеры, криминал",film,2020.0
10770,1101,91.45049954586739,100687.0,Левша,"драмы, спорт",film,2015.0
3834,1067,94.19775070290534,100509.0,Ральф,"мультфильм, фэнтези, комедии",film,2012.0
2043,1061,94.00848256361922,99743.0,Злодей,"боевики, драмы, триллеры",film,2020.0
11143,1052,94.6967680608365,99621.0,На пятьдесят оттенков темнее,"драмы, мелодрамы",film,2017.0
15719,1026,96.17153996101365,98672.0,Семейка Бигфутов,"мультфильм, приключения",film,2020.0
8209,1048,93.95515267175573,98465.0,Эбигейл,"семейное, фэнтези, приключения",film,2019.0
13763,1039,93.78248315688161,97440.0,Братство,"боевики, драмы, военные",film,2019.0
1179,1036,94.00965250965251,97394.0,Ограбление с ограничениями,комедии,film,2019.0
931,1044,92.97509578544062,97066.0,После,"драмы, мелодрамы",film,2019.0
14580,1027,94.41187925998052,96961.0,Экспат,"боевики, триллеры",film,2011.0
4946,1032,93.19089147286822,96173.0,Два сердца,"драмы, мелодрамы",film,2020.0
9213,1040,92.40384615384616,96100.0,Крейсер,"боевики, драмы, триллеры, военные",film,2016.0
9937,1015,94.40197044334975,95818.0,12 лет рабства,"драмы, биография, историческое",film,2013.0
12659,1047,91.34383954154728,95637.0,Бункер,"драмы, биография, военные, историческое",film,2004.0
3693,1031,92.57322987390883,95443.0,Проклятие Лауры.Завещание,ужасы,film,2020.0
10878,1046,91.23135755258126,95428.0,Коридор бессмертия,"драмы, историческое, военные",film,2019.0
12908,1019,92.7468105986261,94509.0,Человек-паук: Через вселенные,"фантастика, мультфильм, приключения",film,2018.0
11697,1046,89.77915869980879,93909.0,И повсюду тлеют пожары,драмы,series,2020.0
4141,997,93.72016048144434,93439.0,Пятьдесят оттенков серого,мелодрамы,film,2015.0
13262,1004,93.06274900398407,93435.0,Папаши,комедии,film,2020.0
281,997,93.39819458375125,93118.0,Человек-муравей и Оса,"боевики, фантастика, приключения, комедии",film,2018.0
9617,1004,92.71812749003983,93089.0,Люди Икс: Апокалипсис,"боевики, фантастика, приключения",film,2016.0
5669,1008,92.31646825396825,93055.0,28 панфиловцев,"драмы, историческое, военные",film,2016.0
13071,986,94.24137931034483,92922.0,Ветреная река,"драмы, триллеры, криминал, детективы",film,2017.0
15715,980,94.21020408163265,92326.0,Шугалей 2,"боевики, приключения",film,2020.0
10845,983,93.77924720244151,92185.0,Бегущий в лабиринте: Испытание огнём,"боевики, фантастика, триллеры, приключения",film,2015.0
9103,970,95.02474226804124,92174.0,Охота,"боевики, триллеры, комедии",film,2020.0
6738,995,92.58894472361808,92126.0,Человек-паук: Возвращение домой,"боевики, популярное, фантастика, приключения",film,2017.0
11790,973,94.64748201438849,92092.0,Гадкий я,"мультфильм, фэнтези, комедии",film,2010.0
12401,978,94.01635991820041,91948.0,Экстремалы,"боевики, триллеры, приключения",film,2002.0
734,1010,90.81485148514851,91723.0,Бегущий по лезвию 2049,"детективы, драмы, фантастика, триллеры, боевики",film,2017.0
8350,982,93.34114052953157,91661.0,Перевозчик,"боевики, триллеры, криминал",film,2002.0
6785,958,95.25260960334029,91252.0,Бегущий в лабиринте,"фантастика, триллеры, приключения",film,2014.0
11885,966,94.23706004140787,91033.0,Хан Соло: Звёздные войны. Истории,"боевики, фантастика, приключения",film,2018.0
12537,986,92.30121703853955,91009.0,Поли,семейное,film,2020.0
3927,979,92.7752808988764,90827.0,Помни меня,"драмы, мелодрамы",film,2010.0
16064,954,93.63731656184487,89330.0,Большое путешествие,"семейное, мультфильм, приключения, комедии",film,2019.0
3006,946,94.22198731501057,89134.0,Мулан,"мультфильм, приключения, военные, мюзиклы, фэнтези",film,1998.0
14603,943,93.96818663838812,88612.0,Слепой,"боевики, триллеры",film,2012.0
14378,960,92.22604166666666,88537.0,Верю в любовь,"драмы, биография, мелодрамы",film,2019.0
9132,931,94.86680988184747,88321.0,Очень плохие мамочки,комедии,film,2016.0
12974,951,92.56466876971609,88029.0,Шевели ластами 2,"семейное, мультфильм, приключения",film,2012.0
8251,932,94.31652360515021,87903.0,Танки,"историческое, военные, приключения",film,2018.0
6208,956,91.69560669456067,87661.0,Страна чудес Вилли,"ужасы, комедии",film,2021.0
15656,912,95.50657894736842,87102.0,Далласский клуб покупателей,драмы,film,2013.0
16088,942,91.50424628450106,86197.0,Дублёрша,комедии,film,2020.0
12275,926,92.97084233261339,86091.0,Доспехи бога: в поисках сокровищ,"приключения, детективы, боевики, фэнтези, комедии",film,2016.0
741,924,92.42316017316017,85399.0,Пингвиненок Пороро. Мир динозавров,"мультфильм, фэнтези, приключения",film,2017.0
13723,914,93.26695842450766,85246.0,Левиафан,"драмы, криминал",film,2014.0
3800,900,94.42555555555556,84983.0,Самый пьяный округ в мире,"драмы, криминал",film,2012.0
11345,915,92.55191256830601,84685.0,Взрослые игры,"драмы, криминал, комедии",film,2017.0
4116,898,94.25278396436525,84639.0,Игра Эндера,"боевики, фантастика, фэнтези, приключения",film,2013.0
6210,907,93.1587651598677,84495.0,Бегущий в лабиринте: Лекарство от смерти,"боевики, фантастика, триллеры, приключения",film,2018.0
16197,893,94.2060470324748,84126.0,Поиск,"драмы, популярное, триллеры, детективы",film,2018.0
16244,879,95.5745164960182,84010.0,Предложение (2009),"драмы, мелодрамы, комедии",film,2009.0
16107,878,95.59794988610479,83935.0,13,"драмы, триллеры",film,2010.0
12837,896,93.44754464285714,83729.0,Мадагаскар,"мультфильм, приключения, комедии",film,2005.0
175,902,92.68181818181819,83599.0,Амнезия,"боевики, триллеры",film,2020.0
3384,887,93.9109357384442,83299.0,Вивариум,"драмы, фантастика",film,2019.0
13185,882,94.44104308390023,83297.0,Хороший динозавр,"драмы, мультфильм, фэнтези",film,2015.0
10811,878,94.30751708428247,82802.0,Отель Мумбаи: Противостояние,"боевики, драмы, историческое, триллеры",film,2019.0
14689,882,93.7233560090703,82664.0,Джуманджи: Зов джунглей,"боевики, фэнтези, комедии",film,2017.0
6193,894,92.41163310961969,82616.0,Планета обезьян: Революция,"боевики, драмы, фантастика",film,2014.0
13955,860,95.92093023255813,82492.0,Душа,"мультфильм, приключения, семейное, фэнтези, комедии",film,2020.0
6825,896,92.06138392857143,82487.0,Чужой против Хищника,"приключения, фантастика, триллеры, боевики, ужасы",film,2004.0
2852,883,93.19365798414496,82290.0,Сквозь снег,"боевики, драмы, фантастика",film,2013.0
11268,860,95.64418604651163,82254.0,Монгол,"историческое, биография, приключения, драмы, военные, боевики",film,2007.0
13280,872,94.20183486238533,82144.0,Человек-муравей,"боевики, фантастика, приключения, комедии",film,2015.0
14476,926,88.63066954643628,82072.0,Нимани,"драмы, фантастика, мелодрамы",film,2018.0
12132,862,94.97447795823666,81868.0,Королева,комедии,film,2020.0
11312,867,93.89158016147636,81404.0,Сумасшедшая любовь,мелодрамы,film,2020.0
2887,858,94.04079254079254,80687.0,Мумия,"боевики, фэнтези, триллеры, приключения",film,2017.0
